n,base_sku,base_asin,base_item_name,base_status,am_sku,am_exists,am_asin,am_item_name,am_status,am_created_date,classification,notes
30,38-30,B01MS8FHUJ,"Magnet Me Up I Love New Jersey, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",BUYABLE+DISCOVERABLE,38-30AM,YES,B01MS8FHUJ,"Magnet Me Up I Love New Jersey, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T16:50:05.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-30-P parent."
31,38-31,B01N34X8GI,"Magnet Me Up I Love New Mexico, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",BUYABLE+DISCOVERABLE,38-31AM,YES,B01N34X8GI,"Magnet Me Up I Love New Mexico, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T16:52:13.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-31-P parent."
32,38-32,B01N11XF8C,I Love New York Car Magnet 3x8 Inch,BUYABLE+DISCOVERABLE,38-32AM,YES,B01N11XF8C,I Love New York Car Magnet 3x8 Inch,DISCOVERABLE,2017-01-18T16:53:18.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-32-P parent."
33,38-33,B01MTA382G,"Magnet Me Up I Love North Carolina, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",BUYABLE+DISCOVERABLE,38-33AM,YES,B01MTA382G,"Magnet Me Up I Love North Carolina, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T16:54:47.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-33-P parent."
34,38-34,B01NCWV3GR,"Magnet Me Up I Love North Dakota, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",BUYABLE+DISCOVERABLE,38-34AM,YES,B01NCWV3GR,"Magnet Me Up I Love North Dakota, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T16:59:06.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-34-P parent."
35,38-35,B01NBVR9IV,"Magnet Me Up I Love Ohio, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE+BUYABLE,38-35AM,YES,B01NBVR9IV,"Magnet Me Up I Love Ohio, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T17:00:10.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-35-P parent."
36,38-36,B01N11Y456,"Magnet Me Up I Love Oklahoma, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",BUYABLE+DISCOVERABLE,38-36AM,YES,B01N11Y456,"Magnet Me Up I Love Oklahoma, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T17:02:08.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-36-P parent."
37,38-37,B01N34Y13H,"Magnet Me Up I Love Oregon, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",BUYABLE+DISCOVERABLE,38-37AM,YES,B01N34Y13H,"Magnet Me Up I Love Oregon, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T17:03:13.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-37-P parent."
38,38-38,B01MR70GWT,"Magnet Me Up I Love Pennsylvania, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",BUYABLE+DISCOVERABLE,38-38AM,YES,B01MR70GWT,"Magnet Me Up I Love Pennsylvania, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T17:04:22.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-38-P parent."
39,38-39,B01N34Y2ZH,"Magnet Me Up I Love Rhode Island, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",BUYABLE+DISCOVERABLE,38-39AM,YES,B01N34Y2ZH,"Magnet Me Up I Love Rhode Island, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE+BUYABLE,2017-01-18T17:05:21.000Z,UNCLEAR,"AM status includes BUYABLE unlike the other 52 (which are DISCOVERABLE-only) - a live duplicate offer for the same ASIN under two SKUs. am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-39-P parent."
40,38-40,B01MZASZHA,"Magnet Me Up I Love South Carolina, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",BUYABLE+DISCOVERABLE,38-40AM,YES,B01MZASZHA,"Magnet Me Up I Love South Carolina, It's Where I Call Home US State Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",DISCOVERABLE,2017-01-18T17:06:45.000Z,LEGACY_SAME_ASIN_DORMANT,"am_asin is IDENTICAL to base_asin (same ASIN/listing, both SKUs point to the same 2017 US State Magnet Decal family listing); am item_name is byte-identical to base item_name; no '2 Pack' wording anywhere; am was simply never relinked to the new 38-40-P parent."
