check_group,ASIN,Family,30d Sales,Why Medium,original_title,new_title,title_chars,item_highlights,status,notes,JOVELOVE_VERDICT,proposed title/correction,item highlights
1-CRUISE_PLACEHOLDER,B0BY393FRY,Cruise,0,"cruise design text could not be isolated, placeholder used; design name trimmed to fit 75","Magnet Me Up Combo 2 Pk This Side Up Right Side Up and Upside Down Pineapple with Sunglasses Magnet Decal, 3x6 Inch, Aut","Combo This Side Up Right Cruise Door Magnet 3x6 Inch 2 Pack, Personalized",73,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed",MATCHED,,,,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed, with sunglasses"
1-CRUISE_PLACEHOLDER,B0BY3B9TDM,Cruise,0,"cruise design text could not be isolated, placeholder used; design name trimmed to fit 75","Magnet Me Up Combo 2 Pk This Side Up Right Side Up and Upside Down Pineapple with Sunglasses Magnet Decal, 4x6 Inch, Aut","Combo This Side Up Right Cruise Door Magnet 4x6 Inch 2 Pack, Personalized",73,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed",MATCHED,,,,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed, with sunglasses"
1-CRUISE_PLACEHOLDER,B0BY3DK6PB,Cruise,0,"cruise design text could not be isolated, placeholder used; design name trimmed to fit 75; some original keywords not carried over","Magnet Me Up This Side Up Upside Down Pineapple with Sunglasses Magnet Decal, 3x6 Inch, Heavy Duty Automotive Magnet for","This Side Up Upside Down Cruise Door Magnet 3x6 Inch, Personalized",66,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed",MATCHED,,,,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed, with sunglasses"
1-CRUISE_PLACEHOLDER,B0BY3C9JDG,Cruise,0,"cruise design text could not be isolated, placeholder used; design name trimmed to fit 75; some original keywords not carried over","Magnet Me Up This Side Up Upside Down Pineapple with Sunglasses Magnet Decal, 4x8 Inch, Automotive Magnet for Car, Truck","This Side Up Upside Down Cruise Door Magnet 4x8 Inch, Personalized",66,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed",MATCHED,,,,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed, with sunglasses"
1-CRUISE_PLACEHOLDER,B0BY3FYQQC,Cruise,0,"cruise design text could not be isolated, placeholder used; design name trimmed to fit 75; some original keywords not carried over","Magnet Me Up This Side Up Right Side Up Pineapple with Sunglasses Magnet Decal, 4x8 Inch, Automotive Magnet for Car, Tru","This Side Up Right Side Up Cruise Door Magnet 4x8 Inch, Personalized",68,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed",MATCHED,,,,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed, with sunglasses"
1-CRUISE_PLACEHOLDER,B0GPRLBPFX,Cruise,0,"cruise design text could not be isolated, placeholder used","Magnet Me Up Custom Cruise Ship Magnet - Birthday Cake Theme -5"" Inches, Personalized Magnet with Photo, Name & Birthdat","Custom Cruise Door Magnet 5 Inch, Personalized, Made in USA",59,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed",MATCHED,,,"Custom Birthday Custom Cruise Door Magnet 8 Inch, Personalized, Made in USA",
1-CRUISE_PLACEHOLDER,B0GPRLLKBL,Cruise,0,"cruise design text could not be isolated, placeholder used","Magnet Me Up Custom Cruise Ship Magnet - Birthday Cake Theme -6"" Inches, Personalized Magnet with Photo, Name & Birthdat","Custom Birthday Custom Cruise Door Magnet 6 Inch, Personalized, Made in USA",75,"Cruise ship cabin & stateroom door decoration, add name & text, full color UV printed",MATCHED,,,"Custom Birthday Custom Cruise Door Magnet 8 Inch, Personalized, Made in USA",
2-TOP25_BY_SALES,B0DNKPPW1Q,Custom Vehicle,2507.5,no size detected in original title,Custom Car Magnet Signs – 30 Mil Magnetic Vehicle Signs – Upload Your Logo & Text – Weatherproof Business Magnets for Ca,"Custom Die Cut Car Magnet 30 Mil, Upload Logo, Made in USA",58,"Personalized magnetic business sign for vehicles & trucks, add your text, weatherproof",MATCHED,,ok,,
2-TOP25_BY_SALES,B0CPYK1VGF,General Magnet,1099.96,"generic family: design name auto-extracted, not from a keyword-validated template","Magnet Me Up Customizable 5 Inch Round Magnet Pack, 100 Piece, Custom Magnet for Businesses, Personal Use, Choose Your T","Customizable Round Magnet 5 Inch 100 pc, Made in USA",52,"Heavy duty magnet, full color UV printed, made to order, upload image, add text",MATCHED,,,,"Heavy duty magnet, full color UV printed, made to order, image or logo, text"
2-TOP25_BY_SALES,B0CPYL2R1D,General Magnet,1076.74,"generic family: design name auto-extracted, not from a keyword-validated template","Magnet Me Up Customizable 5 Inch Round Magnet Pack, 50 Piece, Custom Magnet for Businesses, Personal Use, Choose Your Te","Customizable Round Magnet 5 Inch 50 pc, Made in USA",51,"Heavy duty magnet, full color UV printed, made to order",MATCHED,,,,"Heavy duty magnet, full color UV printed, made to order, image or logo, text"
2-TOP25_BY_SALES,B0D9MDF94J,General Magnet,999.98,"generic family: design name auto-extracted, not from a keyword-validated template","Magnet Me Up Customizable 5 Inch Round Magnet Pack, 250 Pack, Custom Magnet for Businesses, Personal Use, Choose Your Te","Customizable Round Magnet 5 Inch 250 Pack, Made in USA",54,"Heavy duty magnet, full color UV printed, made to order",MATCHED,,,,"Heavy duty magnet, full color UV printed, made to order, image or logo, text"
2-TOP25_BY_SALES,B0DB8W448N,General Magnet,893.97,"generic family: design name auto-extracted, not from a keyword-validated template","Magnet Me Up 6 Inch Round Car Magnet -100 Pack, Upload Your Image, Logo or Text - Made in USA, Full Color, 30 Mil Heavy-","Round Car Magnet 6 Inch 100 Pack, Made in USA",45,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface",MATCHED,,,"Customizable Round Magnet 6 Inch 100 Pack, Made in USA","Heavy duty magnet, full color UV printed, made to order, image or logo, text"
2-TOP25_BY_SALES,B0H12WLCJZ,General Magnet,881.99,"generic family: design name auto-extracted, not from a keyword-validated template","Magnet Me Up Customizable 5"" Round Magnet Pack, 500 Pack, Custom Magnet for Businesses, Personal Use, Choose Your Text,","Customizable Round Magnet 5 Inch 500 Pack, Made in USA",54,"Heavy duty magnet, full color UV printed, made to order",MATCHED,,,,"Heavy duty magnet, full color UV printed, made to order, image or logo, text"
2-TOP25_BY_SALES,B01HGZX8PK,Flag-US,786.12,no size detected in original title,"Magnet Me Up American Flag Paw Print Shape Magnet Decal - Patriotic Auto Accessory for Cars or Trucks - Red, White, and","American Flag Car Magnet, Red White & Blue",42,"Heavy duty magnetic decal for car, truck, SUV, mailbox or any magnetic surface, patriotic gift",MATCHED,,,"American Flag Pawprint Car Magnet, Red White & Blue",
2-TOP25_BY_SALES,B0CPYJTR7L,General Magnet,777.34,"generic family: design name auto-extracted, not from a keyword-validated template","Magnet Me Up Customizable 5 Inch Round Magnet Pack, 25 Pack, Custom Magnet for Businesses, Personal Use, Choose Your Tex","Customizable Round Magnet 5 Inch 25 Pack, Made in USA",53,"Heavy duty magnet, full color UV printed, made to order",MATCHED,,,,"Heavy duty magnet, full color UV printed, made to order, image or logo, text"
2-TOP25_BY_SALES,B0BLHZL16L,General Magnet,776.64,"generic family: design name auto-extracted, not from a keyword-validated template","Magnet Me Up Elderly Driver Please Be Patient Magnet Decal, 3x8 Inches, Heavy Duty Automotive Magnet for Car Truck SUV O",Elderly Driver Please Be Patient Car Magnet 3x8 Inch,52,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface, Made in USA",MATCHED,,,,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface, Made in USA"
2-TOP25_BY_SALES,B07C598SXV,General Magnet,657.82,"generic family: design name auto-extracted, not from a keyword-validated template","Magnet Me Up: Coexist Symbol Decal - 3x8 Inches, Heavy-Duty Automotive Magnet for Car, Truck, SUV - Promote Peace Harmon",Coexist Symbol Car Magnet 3x8 Inch,34,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface",MATCHED,,,,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface, Made in USA"
2-TOP25_BY_SALES,B07LHKFP2G,General Magnet,609.78,"generic family: design name auto-extracted, not from a keyword-validated template","Magnet Me Up Healing Adhesive Bandage Symbol Decal - 3x8 Inches, 2 Pack, Heavy-Duty Automotive Magnets for Car, Truck, S","Healing Adhesive Bandage Symbol Car Magnet 3x8 Inch 2 Pack, Made in USA",71,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface",MATCHED,,,,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface, Made in USA"
2-TOP25_BY_SALES,B0CBL2R5WZ,General Magnet,573.31,"generic family: design name auto-extracted, not from a keyword-validated template","Magnet Me Up 6 Inch Round Car Magnet - Upload Your Image, Logo or Text - Made in USA, Full Color, 30 Mil Heavy-Duty, Wea","Round Car Magnet 6 Inch, Made in USA",36,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface",MATCHED,,,"Customizable Round Magnet 6 Inch, Made in USA","Heavy duty magnet, full color UV printed, made to order, image or logo, text"
2-TOP25_BY_SALES,B0CZPCC8B8,General Magnet,539.88,"generic family: design name auto-extracted, not from a keyword-validated template","Magnet Me Up 6 Inch Round Car Magnet -5 Pack, Upload Your Image, Logo or Text - Made in USA, Full Color, 30 Mil Heavy-Du","Round Car Magnet 6 Inch 5 Pack, Made in USA",43,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface",MATCHED,,,"Customizable Round Magnet 6 Inch 5 Pack, Made in USA","Heavy duty magnet, full color UV printed, made to order, image or logo, text"
2-TOP25_BY_SALES,B0CXF9TFCK,General Magnet,534.58,"generic family: design name auto-extracted, not from a keyword-validated template","Magnet Me Up Customizable 4x6 Inch Oval Magnet Pack, 100 Piece, Custom Magnet for Businesses, Personal Use, Choose Your","Customizable Oval Magnet 4x6 Inch 100 pc, Made in USA",53,"Heavy duty magnet, full color UV printed, made to order",MATCHED,,,,"Heavy duty magnet, full color UV printed, made to order, image or logo, text"
2-TOP25_BY_SALES,B072FKY9B3,General Magnet,531.66,"generic family: design name auto-extracted, not from a keyword-validated template","Magnet Me Up: 13.1 Half Marathon Black Oval Magnet Decal - 4x6 Inches, Heavy-Duty for Car, Truck, SUV - Runner's Pride C","13.1 Half Marathon Black Oval Car Magnet 4x6 Inch, Made in USA",62,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface",MATCHED,,ok,,
2-TOP25_BY_SALES,B0FSTGVRYR,General Magnet,508.83,"generic family: design name auto-extracted, not from a keyword-validated template; some original keywords not carried over","Magnet Me Up Hilarious Car Magnet - Don’t Honk at Me My Dad is Dead 8x3 Inch Dark Humor Gag Gift, Removable Funny Bumper","Hilarious Car Magnet 8x3 Inch, Funny Gift, Made in USA",54,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface",MATCHED,,,Don’t Honk at Me My Dad is Dead 8x3 Inch Dark Humor Gag Gift Magnet,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface, Made in USA"
2-TOP25_BY_SALES,B071VW9RGR,General Magnet,501.03,"generic family: design name auto-extracted, not from a keyword-validated template","Magnet Me Up: 26.2 Marathon Black Oval Magnet Decal - 4x6 Inches, Automotive Magnet for Car, Truck, SUV - Runner's Pride","26.2 Marathon Black Oval Car Magnet 4x6 Inch, Made in USA",57,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface",MATCHED,,ok,,
2-TOP25_BY_SALES,B075GWQ8S2,General Magnet,495.91,"generic family: design name auto-extracted, not from a keyword-validated template","Magnet Me Up Adhesive Bandage Symbol Decal - 3x8 Inches, Heavy-Duty Automotive Magnet for Car, Truck, SUV, Any Magnetic","Adhesive Bandage Symbol Car Magnet 3x8 Inch, Made in USA",56,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface",MATCHED,,ok,,
2-TOP25_BY_SALES,B076HZBQ47,Dog/Paw,481.44,design name trimmed to fit 75,"Magnet Me Up: My Dog is Smarter Than The President Pawprint Magnet Decal - 5 Inch, Heavy-Duty Automotive Magnet for Car,","My Dog is Smarter Than The President Car Magnet 5 Inch, Dog Lover Gift",70,"Heavy duty magnetic decal for car, truck, SUV or fridge, full color UV printed",MATCHED,,,,"Heavy duty magnetic decal for car, truck, SUV or fridge, full color UV printed, Made in USA"
2-TOP25_BY_SALES,B0CZ7NRVCX,General Magnet,439.09,"generic family: design name auto-extracted, not from a keyword-validated template","Magnet Me Up Custom 5 Inch Round Magnet, 5 Pack, Customizable Magnet for Businesses, Personal Use, Choose Your Text, Upl","Custom Round Car Magnet 5 Inch 5 Pack, Made in USA",50,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface",MATCHED,,,,"Heavy duty magnet, full color UV printed, made to order, image or logo, text"
2-TOP25_BY_SALES,B0G6G3LTY5,General Magnet,434,"generic family: design name auto-extracted, not from a keyword-validated template; some original keywords not carried over","Magnet Me Up I Choose Violence Frog 5"" Round Car Magnet - Funny Magnetic Decal for Cars, Trucks & SUV Full-Color UV Prin","I Choose Violence Frog Round Locker Magnet 5 Inch, Funny Gift, Made in USA",74,"Heavy duty magnet, full color UV printed, made to order",MATCHED,,ok,,
2-TOP25_BY_SALES,B09T53542R,General Magnet,399.88,"generic family: design name auto-extracted, not from a keyword-validated template","Magnet Me Up Ouch Band Aid Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",Ouch Band Aid Car Magnet 3x8 Inch,33,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface",MATCHED,,,,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface, Made in USA"
2-TOP25_BY_SALES,B0B3NHJ25D,General Magnet,386.02,"generic family: design name auto-extracted, not from a keyword-validated template","Magnet Me Up Ice Cream On Board Car Magnet Decal, 5x5 Inches, Heavy Duty Automotive Magnet for Car Truck SUV",Ice Cream On Board Car Magnet 5x5 Inch,38,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface",MATCHED,,,,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface, Made in USA"
2-TOP25_BY_SALES,B0G2N1KJTL,General Magnet,384.84,"generic family: design name auto-extracted, not from a keyword-validated template","Magnet Me Up Please Be Patient Driver Is Blind - 3x8 Inches Funny Car Magnet UV Full-Colors Printed for Gifts, Weatherpr","Please Be Patient Driver Is Blind Car Magnet 3x8 Inch, Funny Gift, USA Made",75,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface",MATCHED,,ok,,
2-TOP25_BY_SALES,B083C4ZNXK,General Magnet,361.87,"generic family: design name auto-extracted, not from a keyword-validated template","Magnet Me Up Just Married Magnet Decal, 3x8 Inches Heavy Duty Automotive Magnet for Car Truck SUV",Just Married Car Magnet 3x8 Inch,32,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface",MATCHED,,,,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface, Made in USA"
3-RANDOM_SAMPLE_GENERAL,B0BGT4QJZ5,General Magnet,235.11,"generic family: design name auto-extracted, not from a keyword-validated template","Magnet Me Up: Support Breast Cancer Awareness Pink Ribbon Magnet Decal - 2 Pack, 3.5x7 Inches, Heavy-Duty Automotive Mag",Support Breast Cancer Awareness Pink Ribbon Car Magnet 3.5x7 Inch 2 Pack,72,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface",MATCHED,,,,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface, Made in USA"
3-RANDOM_SAMPLE_GENERAL,B076PVFRK4,General Magnet,97.89,"generic family: design name auto-extracted, not from a keyword-validated template","Magnet Me Up: Breast Cancer Survivor Pink Ribbon Magnet Decal - 3.5x7 Inches, Heavy-Duty Automotive Magnet for Car, Truc",Breast Cancer Survivor Pink Ribbon Car Magnet 3.5x7 Inch,56,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface",MATCHED,,,,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface, Made in USA"
3-RANDOM_SAMPLE_GENERAL,B07JCFCJJF,General Magnet,90.61,"generic family: design name auto-extracted, not from a keyword-validated template","Magnet Me Up: 13.1 Half Marathon Black Oval Magnet Decal - 4x6 Inches - 2 Pack - Heavy-Duty Automotive Magnets for Car,",13.1 Half Marathon Black Oval Car Magnet 4x6 Inch 2 Pack,56,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface",MATCHED,,,,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface, Made in USA"
3-RANDOM_SAMPLE_GENERAL,B0F94K3RNC,General Magnet,83.69,"generic family: design name auto-extracted, not from a keyword-validated template; design name trimmed to fit 75","Magnet Me Up Magnetic Vent Cover 13x6 Inch Fits 12x5.5 Vents, 3 Pack, Strong Magnetic Register Cover for Floor, Wall & C",Magnetic Vent Cover 13x6 Inch Fits 12x5.5 Locker Magnet 13x6 Inch 3 Pack,72,"Heavy duty magnet, full color UV printed, made to order",MATCHED,,,"Magnetic Vent Cover 13x6 Inch Fits 12x5.5 Vents, 3 Pack","Strong Magnetic Register Cover for Floor, Wall & Ceiling Vents, Reusable HVAC Air Blocker, Cut-to-Fit Trim to Size, Made in USA"
3-RANDOM_SAMPLE_GENERAL,B09QRLMJHZ,General Magnet,78.9,"generic family: design name auto-extracted, not from a keyword-validated template","Magnet Me Up Head and Neck Cancer Awareness Burgundy and Ivory Ribbon Magnet Decal, 3.5x7 Inches, Heavy Duty Automotive",Head and Neck Cancer Burgundy and Ivory Ribbon Car Magnet 3.5x7 in,66,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface",MATCHED,,,"Head and Neck Cancer Awareness Ribbon Magnet Decal, 3.5x7 Inches","Heavy-duty magnetic decal for car, truck, SUV, fridge or any magnetic surface, Burgundy and Ivory, made in USA"
3-RANDOM_SAMPLE_GENERAL,B0GY5L15ZV,General Magnet,62.93,"generic family: design name auto-extracted, not from a keyword-validated template; some original keywords not carried over","Magnet Me Up My Other Car is A Broom 3x8 Inches Car Magnet - Funny Halloween Witch Magnetic Decals for Cars, Trucks and","My Other Car is A Broom Car Magnet 3x8 Inch, Funny Gift, Made in USA",68,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface",MATCHED,,,,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface, halloween themed, made in USA"
3-RANDOM_SAMPLE_GENERAL,B0FK7FPB78,General Magnet,26.97,"generic family: design name auto-extracted, not from a keyword-validated template; some original keywords not carried over","Magnet Me Up Mississippi State Magnet, 2.8x4.9 Inches, Full-Color UV Printed Vinyl, Collectible US Shape Travel Gift, Du","Mississippi State Car Magnet 2.8x4.9 Inch, Made in USA",54,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface",MATCHED,,,,"Heavy-duty magnetic decal for car, truck, SUV, fridge or any magnetic surface, collectible US State shape, travel gift"
3-RANDOM_SAMPLE_GENERAL,B0D5BSSP74,General Magnet,26.97,"generic family: design name auto-extracted, not from a keyword-validated template","Magnet Me Up Pennsylvania Liberty Bell State Oval Magnet Decal, 4x6 inch, Automotive Magnet for Car, Great Souvenir Gift","Pennsylvania Liberty Bell State Oval Car Magnet 4x6 Inch, Made in USA",69,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface",MATCHED,,,,"Heavy-duty magnetic decal for car, truck, SUV, fridge or any magnetic surface, souvenir gift"
3-RANDOM_SAMPLE_GENERAL,B0CZ4LD67D,General Magnet,26.97,"generic family: design name auto-extracted, not from a keyword-validated template","Magnet Me Up Nebraska Chimney Rock State Scenic Oval Magnet Decal, 4x6 inch, Automotive Magnet for Car, Great Gift or So","Nebraska Chimney Rock State Scenic Oval Car Magnet 4x6 Inch, Made in USA",72,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface",MATCHED,,,,"Heavy-duty magnetic decal for car, truck, SUV, fridge or any magnetic surface, souvenir gift"
3-RANDOM_SAMPLE_GENERAL,B0FJS7L8PQ,General Magnet,26.97,"generic family: design name auto-extracted, not from a keyword-validated template; some original keywords not carried over","Magnet Me Up Ephesus Ruins Magnet Decal, 5"" Round Full-Color Automotive Magnet Featuring Ancient Roman Architecture in T","Ephesus Ruins Car Magnet 5 Inch, Made in USA",44,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface",MATCHED,,,"Ephesus Ruins Car Magnet 5 Inch Round, Made in USA","Heavy-duty magnetic decal for car, truck, SUV, fridge or any magnetic surface, souvenir gift"
3-RANDOM_SAMPLE_GENERAL,B0BZJVDCBR,General Magnet,23.97,"generic family: design name auto-extracted, not from a keyword-validated template","Magnet Me Up Canada Canadian Euro Oval Magnet Decal, 4x6 Inches, Heavy Duty for Car, Truck, SUV, Or Any Other Magnetic S",Canada Canadian Euro Oval Car Magnet 4x6 Inch,45,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface",MATCHED,,,,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface, Made in USA"
3-RANDOM_SAMPLE_GENERAL,B0H6GN65S8,General Magnet,17.98,"generic family: design name auto-extracted, not from a keyword-validated template","Magnet Me Up Ehlers-Danlos Syndrome (EDS) Awareness Car Magnet, 3.5""x7"" Zebra Print Ribbon Magnetic Decal for Cars, Truc","Ehlers-Danlos Syndrome Car Magnet 3.5x7 Inch, Made in USA",57,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface",MATCHED,,,"Ehlers-Danlos Syndrome Car Magnet 3.5x7 Inch Ribbon, Made in USA","Heavy-duty magnetic decal for car, truck, SUV, fridge or any magnetic surface, EDS awareness"
3-RANDOM_SAMPLE_GENERAL,B0FGFGPCPB,General Magnet,17.98,"generic family: design name auto-extracted, not from a keyword-validated template; some original keywords not carried over","Magnet Me Up Eiffel Tower Magnet - 5 Inch Round, Paris Souvenir Magnet for Fridge or Office D cor - Full Color UV Printe","Eiffel Tower Magnet 5 Inch, Made in USA",39,"Heavy duty magnet, full color UV printed, made to order",MATCHED,,,"Eiffel Tower Magnet 5 Inch Round, Made in USA","Heavy-duty magnetic decal for car, truck, SUV, fridge or any magnetic surface, souvenir gift"
3-RANDOM_SAMPLE_GENERAL,B0H2JHLL7W,General Magnet,10.99,"generic family: design name auto-extracted, not from a keyword-validated template; design name trimmed to fit 75","Magnet Me Up Support Leukemia and Kidney Cancer Survivor Orange Ribbon Magnet Decal 3.5x7 Inches, 2 Pack Automotive Magn",Leukemia and Kidney Cancer Survivor Orange Car Magnet 3.5x7 Inch 2 Pack,71,"Heavy duty magnetic decal for car, truck, SUV, fridge or any magnetic surface",MATCHED,,,,"Heavy-duty magnetic ribbon, truck, SUV, fridge, or any magnetic surface, made in USA"
