sku,asin,title,title_chars,source
5R-126,B0FGFGPCPB,"Eiffel Tower Magnet 5 Inch Round, Made in USA",45,flatfile_v1.1
M-304AM,B0FHRNDZSY,"Back Hair Waxing Club Car Magnet 5 Inch Round, Funny Gift, Made in USA",70,flatfile_v1.1
M-312,B0FHSNN964,"Oklahoma State Fridge Magnet 6x4 Inch, Made in USA",50,flatfile_v1.1
5R-138,B0FHXSKLSM,"Forbidden City Car Magnet 5 Inch Round, Made in USA",51,flatfile_v1.1
5R-144,B0FJS7L8PQ,"Ephesus Ruins Car Magnet 5 Inch Round, Made in USA",50,flatfile_v1.1
M-337,B0FK7FNJ2G,"New York State Fridge Magnet 3.7x5 Inch, Made in USA",52,flatfile_v1.1
M-332,B0FK7FPB78,"Mississippi State Car Magnet 2.8x4.9 Inch, Made in USA",54,flatfile_v1.1
38-135,B0FXHQ4NJB,"I'd Rather Be Watching Paranormal Television Car Magnet 3x8 Inch, USA Made",74,flatfile_v1.1
38-143,B0G976CHBP,"Just Pass Me This is As Fast As It Gets Car Magnet 3x8 Inch, Funny Gift",71,flatfile_v1.1
38-162,B0GY5L15ZV,"My Other Car is A Broom Car Magnet 3x8 Inch, Funny Gift, Made in USA",68,flatfile_v1.1
M-406,B0GYQ7S6DV,"Trauma Nurse Locker Magnet 5x5 Inch, Heart, Made in USA",55,flatfile_v1.1
R-128,B0H2JHLL7W,Leukemia and Kidney Cancer Survivor Orange Car Magnet 3.5x7 Inch 2 Pack,71,flatfile_v1.1
CFOOTBALL-910,B0H2JVKF1W,"Custom Football Helmet Magnet 9x10 Inch, Made in USA",52,flatfile_v1.1
R-162,B0H4NKVP7F,Breast Cancer Pink Mandala Survivor Ribbon Car Magnet 3.5x7 in 2 Pack,69,flatfile_v1.1
R-175,B0H4WJ7L4P,"Bone Cancer Fighter Car Magnet 3.5x7 Inch 2 Pack, Yellow Ribbon",63,flatfile_v1.1
E-178,B0H76XS1PR,"Josh Shapiro Democrat Supporter Election Car Magnet 4x6 Inch, Made in USA",73,flatfile_v1.1
O-78,B076JFRYV1,Skull Boo! Oval Car Magnet 4x6 Inch,35,flatfile_v1.1
O-72,B076JJZ29Q,Grim Reaper Boo! Oval Car Magnet 4x6 Inch,41,flatfile_v1.1
38-52,B076R6W15B,Honk Again I Didn't Hear You! Car Magnet 3x8 Inch,49,flatfile_v1.1
38-51,B076R9WPV1,Honk Again I'm Reloading! Car Magnet 3x8 Inch,45,flatfile_v1.1
38-53,B076RC4THG,Honk Again I Dare You! Car Magnet 3x8 Inch,42,flatfile_v1.1
38-54,B076RDR2H4,Honk Again Feel Better Now? Car Magnet 3x8 Inch,47,flatfile_v1.1
B-9,B07772V946,"Dog Grandma and Dog Grandpa Bone Car Magnet 2x7 Inch 2 Pack, Dog Lover Gift",75,flatfile_v1.1
B-9AM,B07772V946,"Dog Grandma and Dog Grandpa Bone Car Magnet 2x7 Inch 2 Pack, Dog Lover Gift",75,flatfile_v1.1
O-123,B07932LRHG,I'm Awesome! Just Saying Oval Car Magnet 4x6 Inch,49,flatfile_v1.1
M-34,B07BL35Q5M,"You are More Awesome Than You Realize! Dishwasher Magnet 4x4 Inch, USA Made",75,flatfile_v1.1
O-153,B07CZVYGQ7,Vegan! All Natural Colors Oval Car Magnet 4x6 Inch,50,flatfile_v1.1
O-178,B09D8JN3WZ,She Believed that She Could So She Did Oval Car Magnet 4x6 Inch,63,flatfile_v1.1
5R-88,B0CWSBJY9G,"Back Off! I'm Anxious Car Magnet 5 Inch, Funny Gift, Made in USA",64,flatfile_v1.1
M-190,B0CXYPZK13,"Duck This and Duck That Crazy Cute Duck Car Magnet 5 in 2 Pack, Funny Gift",74,flatfile_v1.1
M-189,B0CXYQHNC1,"Duck This! Crazy Cute Duck Car Magnet 6x4 Inch, Funny Gift, Made in USA",71,flatfile_v1.1
M-188,B0CXYVBXLR,"Duck that! Crazy Cute Duck Car Magnet 6x4 Inch, Funny Gift, Made in USA",71,flatfile_v1.1
M-196,B0D47ZLMN9,"Keep Back! Karen On Board Car Magnet 5x5 Inch, Funny Gift, Made in USA",70,flatfile_v1.1
R-85,B0F6TQ3PW7,It's Okay Not to be Okay! Mental Health Awareness Ribbon Magnet 3.5x7 in,72,flatfile_v1.1
5R-127,B0FGFPKZPW,"Mont Saint- Michel 5"" Car Magnet, Made in USA",45,flatfile_v1.1
M-375,B0GDS9NKD3,"Remember When I Asked for Your Opinion? Funny Car Magnet 5x5 in, Funny Gift",75,flatfile_v1.1
38-161,B0GY5DG36W,"My Other Car is Also A Car Funny Car Magnet 3x8 Inch, Funny Gift, USA Made",74,flatfile_v1.1
R-171,B0H4WNZ57F,It's Okay Not to be Okay! Mental Health Ribbon Magnet 3.5x7 Inch 2 Pack,71,flatfile_v1.1
R-3,B076PK14C1,"White Lung Cancer Awareness Ribbon Magnet Decal, 3.5 x 7 Inches",63,flatfile_v1.1
R-3AM,B076PK14C1,"White Lung Cancer Awareness Ribbon Magnet Decal, 3.5 x 7 Inches",63,flatfile_v1.1
R-4,B076PM1C6B,"Teal Cervical and Ovarian Awareness Ribbon Magnet Decal, 3.5 Inches",67,flatfile_v1.1
R-4AM,B076PM1C6B,"Teal Cervical and Ovarian Awareness Ribbon Magnet Decal, 3.5 Inches",67,flatfile_v1.1
R-1,B076PMFCP3,"Pink Breast Cancer Awareness Ribbon Car Magnet Decal, 3.5 x 7 Inches",68,flatfile_v1.1
R-1AM,B076PMFCP3,"Pink Breast Cancer Awareness Ribbon Car Magnet Decal, 3.5 x 7 Inches",68,flatfile_v1.1
R-14,B076PMH2TC,"Blue Colon Cancer Awareness Ribbon Magnet Decal, 3.5x7 Inches",61,flatfile_v1.1
R-14AM,B076PMH2TC,"Blue Colon Cancer Awareness Ribbon Magnet Decal, 3.5x7 Inches",61,flatfile_v1.1
R-6,B076PP4PFX,"Peach Uterine Awareness Ribbon Magnet Decal, 3.5x7 Inches",57,flatfile_v1.1
R-6AM,B076PP4PFX,"Peach Uterine Awareness Ribbon Magnet Decal, 3.5x7 Inches",57,flatfile_v1.1
R-2,B076PP75D7,"Yellow Bladder Cancer Awareness Ribbon Magnet Decal, 3.5 x 7 Inches",67,flatfile_v1.1
R-7,B076PPDB8R,"Orange Leukemia and Kidney Cancer Awareness Ribbon Magnet, 3.5 x7 Inches",72,flatfile_v1.1
R-7AM,B076PPDB8R,"Orange Leukemia and Kidney Cancer Awareness Ribbon Magnet, 3.5 x7 Inches",72,flatfile_v1.1
R-16,B076PPKHX9,"Aqua Prostate Cancer Awareness Ribbon Magnet Decal, 3.5x7 In",60,flatfile_v1.1
R-16AM,B076PPKHX9,"Aqua Prostate Cancer Awareness Ribbon Magnet Decal, 3.5x7 In",60,flatfile_v1.1
R-8,B076PQG9GL,"Lime Lymphoma Cancer Awareness Ribbon Magnet Decal, 3.5x7 inches",64,flatfile_v1.1
R-8AM,B076PQG9GL,"Lime Lymphoma Cancer Awareness Ribbon Magnet Decal, 3.5x7 inches",64,flatfile_v1.1
R-5,B076PQHYJS,"Purple Pancreatic and Leiomyosarcoma Cancer Ribbon Magnet, 3.5x7 Inches",71,flatfile_v1.1
R-5AM,B076PQHYJS,"Purple Pancreatic and Leiomyosarcoma Cancer Ribbon Magnet, 3.5x7 Inches",71,flatfile_v1.1
R-10,B076PQMFR9,"Grey Brain Cancer Ribbon Car Magnet 3.5x7 Inch, Awareness",57,flatfile_v1.1
R-10AM,B076PQMFR9,"Grey Brain Cancer Ribbon Car Magnet 3.5x7 Inch, Awareness",57,flatfile_v1.1
R-11,B076PR8DKP,Green Liver Cancer Awareness Ribbon Car Magnet 3.5x7 Inch,57,flatfile_v1.1
R-11AM,B076PR8DKP,Green Liver Cancer Awareness Ribbon Car Magnet 3.5x7 Inch,57,flatfile_v1.1
R-15,B076PVMW4K,"Black Melanoma Cancer Awareness Ribbon Magnet Decal, 3.5x7 Inches",65,flatfile_v1.1
R-56,B09QLJX68D,"Support Esophageal and Stomach Cancer Awareness Ribbon Magnet, 3.5x7 Inch",73,flatfile_v1.1
R-56AM,B09QLJX68D,"Support Esophageal and Stomach Cancer Awareness Ribbon Magnet, 3.5x7 Inch",73,flatfile_v1.1
R-63,B09QRN9PRH,"Head and Neck Cancer Fighter Ribbon Magnet Decal, 3.5x7 Inches",62,flatfile_v1.1
R-63AM,B09QRN9PRH,"Head and Neck Cancer Fighter Ribbon Magnet Decal, 3.5x7 Inches",62,flatfile_v1.1
R-65,B09QRXXJ26,"Zebra Carcinoid Cancer Awareness Ribbon Magnet Decal, 3.5x7 Inches",66,flatfile_v1.1
R-65AM,B09QRXXJ26,"Zebra Carcinoid Cancer Awareness Ribbon Magnet Decal, 3.5x7 Inches",66,flatfile_v1.1
EM-52,B0BKH6NVX8,"Poop Emoticon Car Magnet, 5 Inch",32,flatfile_v1.1
M-172,B0CPT86SSN,"You've Been Ducked Cute Vehicle Duck Car Magnet 4x4 Inch 4 Pack, Funny Gift",75,flatfile_v1.1
M-172AM,B0CPT86SSN,"You've Been Ducked Cute Vehicle Duck Car Magnet 4x4 Inch 4 Pack, Funny Gift",75,flatfile_v1.1
M-173,B0CPT93RWN,"You've Been Ducked Cute Vehicle Duck Magnets, Ducking Game, 4 Pk, 4x4 in",72,flatfile_v1.1
CBONE,B0CQ5XRC1S,"Customizable with Text Bone Magnet, 2x7 Inch",44,flatfile_v1.1
C8X3-5,B0CZLZCJ85,"Custom Rectangle Car Magnet 8x3 Inch 5 Pack, Image and Text",59,flatfile_v1.1
C10X3-5,B0CZM4L5T3,"Custom Rectangle Car Magnet 10x3 Inch 5 Pack, Image and Text",60,flatfile_v1.1
C46R-5,B0CZPGCK4C,"Custom 4x6 Inch Rectangle Photo Refrigerator Magnet, 5 Pack, Photo & Text",73,flatfile_v1.1
NB-1,B0D4RBRHV1,"Custom Printed Magnetic Name Tag Name 1.5x3 Inch, Logo Left",59,flatfile_v1.1
C57ROSH,B0DG3WT5YQ,"Rosh Hashanah Photo Frame Custom Magnet, 5x7 inch, Upload Photo",63,flatfile_v1.1
CRIBBON-1,B0DHDD8T65,"Custom Ribbon Car Magnet 7x3.5 Inch, Made in USA",48,flatfile_v1.1
C45POL-HAL2,B0DJSDD6GJ,"Custom Halloween Photo Magnet, 4x5 Inch Yellow Photo Frame, Photo and Text",74,flatfile_v1.1
C45POL-HAL1,B0DJSM2TPP,"Custom Halloween Photo Magnet, 4x5 Inch Purple Photo Frame, Photo and Text",74,flatfile_v1.1
CDIEC-1,B0DJWKNTB8,"Custom Die Cut Car Magnet, Personalized Shape and Design",56,flatfile_v1.1
C45POL-HAN2,B0DM2MWYMQ,Custom 4x5 Inch Hanukkah Photo Refrigerator Magnet with Text Option,67,flatfile_v1.1
CDIEC-4,B0DNKLQXS4,"Custom Die Cut Car Magnet, Upload Logo, Made in USA",51,flatfile_v1.1
CLUGGAGE-1,B0DNTXHVMB,"Custom Luggage Tags for Travel Bags, Suitcase, 3x5 inch, 2 Pack",63,flatfile_v1.1
C57CHRIS1,B0DPMPV47F,"Custom Christmas Red Photo Frame Refrigerator Magnet, Photo and text, 5""x7""",75,flatfile_v1.1
CDIEC-7,B0DPR9FJVL,"Custom Photo Magnet, Die-cut, Add Photo & Text, Made in USA",59,flatfile_v1.1
CDIEC-6,B0DPRBRK9N,"Custom Pet Die-cut Magnet, Add Photo & Text, Made in USA",56,flatfile_v1.1
CASL2,B0DRZ386C1,"Customizable American Sign Language Fridge Magnet, 8x5 Inches, Add Logo",71,flatfile_v1.1
CSTICKERDIE-1,B0GTJNSCGZ,"Custom Die-Cut Adhesive Sticker, Upload Logo, Made in USA",57,flatfile_v1.1
R-118,B0H2FHC7N3,"Hodgkin's Lymphoma and Testicular Cancer Ribbon Magnet, 3.5x7 Inch 2 Pack",73,jovelove_email_fix
CCRUISE-49,B0GPRTFYFK,"Custom Birthday Cake Cruise Door Magnet 12 Inch, Personalized, Made in USA",74,whats_left_sheet_jovelove
CCRUISE-22,B0GLHYCFSX,"Custom Birthday Cake Cruise Door Magnet 10 Inch, Personalized, Made in USA",74,whats_left_sheet_jovelove
CCRUISE-36,B0GN4J3D81,"Custom Cruise Door Magnet 10 Inch, Personalized, Tropical Pineapple Club",72,whats_left_sheet_jovelove
CCRUISE-35,B0GN5BDL46,"Custom Cruise Door Magnet 8 Inch, Personalized, Tropical Pineapple Club",71,whats_left_sheet_jovelove
CCRUISE-37,B0GN3TLM47,"Custom Cruise Door Magnet 12 Inch, Personalized, Tropical Pineapple Club",72,whats_left_sheet_jovelove
M-100,B0BY393FRY,Combo This Side Up Right Cruise Door Magnet 3x6 Inch 2 Pack,59,whats_left_sheet_jovelove
M-103,B0BY3B9TDM,Combo This Side Up Right Cruise Door Magnet 4x6 Inch 2 Pack,59,whats_left_sheet_jovelove
M-99,B0BY3DK6PB,This Side Up Upside Down Cruise Door Magnet 3x6 Inch,52,whats_left_sheet_jovelove
M-102,B0BY3C9JDG,This Side Up Upside Down Cruise Door Magnet 4x8 Inch,52,whats_left_sheet_jovelove
CCRUISE-46,B0GPRLBPFX,"Custom Birthday Cake Cruise Door Magnet 5 Inch, Personalized, Made in USA",73,whats_left_sheet_jovelove
CCRUISE-47,B0GPRLLKBL,"Custom Birthday Cake Cruise Door Magnet 6 Inch, Personalized, Made in USA",73,whats_left_sheet_jovelove
CDIEC-2,B0DMQKV8HY,"Custom Photo Magnet, Photo Booth, Add Photo & Text, Die-Cut",59,whats_left_sheet_jovelove
R-191,B0H6GN65S8,"Ehlers-Danlos Syndrome Car Magnet 3.5x7 Inch Ribbon, Made in USA",64,whats_left_sheet_jovelove
M-119,B0C7J68W1K,"SUCC It Up Cute Funny Plant Succulent Car Magnet 5 Inch, Funny Gift",67,whats_left_sheet_jovelove
M-300,B0FH7NLLHF,Sunny Cheeks Nude Beach Volleyball League Car Magnet 5 Inch Round,65,whats_left_sheet_jovelove
E-118,B0DCGW5K99,"Kamala Harris Waltz 2024 Car Magnet 4x6 Inch Oval, Election",59,whats_left_sheet_jovelove
E-130,B0DGVBZN9T,People Kamala Harris Waltz 2024 Election Car Magnet 4x6 Inch 2 Pack,67,whats_left_sheet_jovelove
E-155,B0FZLTZD5R,"Trump 2028 Election Car Magnet 4x6 Inch, Made in USA",52,whats_left_sheet_jovelove
MDE-14,B0CZSFHRZX,Kennedy 2024 Election Adhesive Decal Stickers 5.5x3.5 Inch 5 Pack,65,whats_left_sheet_jovelove
E-34,B01MS8VAW0,Keep America ! Trump Republican Political Car Magnet 3x8 Inch,61,whats_left_sheet_jovelove
MDE-13,B0CZS8TNTJ,"Trump 2024 Donald Republican Political Stickers, 5.5 x 3.5 Inch 5 Pack",70,whats_left_sheet_jovelove
M-238,B0DQ2C76WC,"Where My Ho's at? Christmas Car Magnet 5x4.5 Inch, Funny Gift, USA Made",71,whats_left_sheet_jovelove
R-59,B0H3M6PQ8F,"Kelly Green Gallbladder Ribbon Car Magnet 3.5x7 Inch, Cancer Awareness",70,whats_left_sheet_jovelove
R-9,B076PRYBP4,"All Cancer Ribbon Car Magnet 3.5x7 Inch, Awareness",50,whats_left_sheet_jovelove
E-62,B0BMH1NVKL,"DeSantis 2024 Republican Party Election Magnet Decal, 4x6 Inch",62,whats_left_sheet_jovelove
C10X3-50,B0DSGKTJ7V,"Custom Rectangle Car Magnet 10x3 Inch 50 Pack, Image and Text",61,whats_left_sheet_jovelove
